,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,clusters,cluster
12731,36,1,36,1,27,0,yellow
12732,63,1,33,3,63,0,yellow
12733,30,1,10,1,30,0,yellow
12734,40,1,27,3,40,0,yellow
12735,29,0,24,3,29,0,yellow
12736,67,2,17,17,67,0,yellow
12737,64,2,17,6,64,0,yellow
12738,80,1,39,3,80,0,yellow
12739,76,2,19,11,76,0,yellow
12740,63,2,27,5,63,0,yellow
12741,14,0,12,2,14,0,yellow
12742,35,1,6,1,35,0,yellow
12743,141,1,16,7,141,1,red
12744,101,3,5,8,101,0,yellow
12745,79,2,7,6,79,0,yellow
12746,65,2,47,2,65,0,yellow
12747,96,1,42,0,96,0,yellow
12748,70,1,34,1,70,0,yellow
12749,66,1,36,2,66,0,yellow
12750,63,2,25,11,63,0,yellow
12751,32,1,32,3,15,0,yellow
12752,71,2,36,5,71,0,yellow
12753,52,1,22,1,52,0,yellow
12754,41,1,21,5,41,0,yellow
12755,63,2,27,13,63,0,yellow
12756,32,1,32,4,23,0,yellow
12757,201,5,201,4,159,1,red
12758,89,2,17,19,89,0,yellow
12759,67,1,27,4,67,0,yellow
12760,54,2,27,10,54,0,yellow
12761,62,1,47,2,62,0,yellow
12762,129,1,129,1,116,1,red
12763,61,1,41,2,61,0,yellow
12764,25,0,25,0,20,0,yellow
12765,169,4,166,1,169,1,red
12766,23,1,23,0,23,0,yellow
12767,50,3,14,1,50,0,yellow
12768,51,1,27,9,51,0,yellow
12769,164,4,20,7,164,1,red
12770,61,1,16,13,61,0,yellow
12771,35,1,35,0,35,0,yellow
12772,51,1,26,2,51,0,yellow
12773,189,3,40,4,189,1,red
12774,164,3,147,1,164,1,red
12775,151,3,70,1,151,1,red
12776,66,2,4,5,66,0,yellow
12777,53,1,53,0,37,0,yellow
12778,151,2,65,1,151,1,red
12779,163,3,160,1,163,1,red
12780,108,2,42,7,108,1,red
12781,59,1,25,2,59,0,yellow
12782,29,1,29,0,20,0,yellow
12783,95,2,7,9,95,0,yellow
12784,29,1,28,2,29,0,yellow
12785,324,1,45,1,295,2,black
12786,12,0,8,0,12,0,yellow
12787,35,0,16,0,35,0,yellow
12788,54,1,42,0,54,0,yellow
12789,32,1,32,2,29,0,yellow
12790,31,1,31,3,30,0,yellow
12791,34,1,34,2,30,0,yellow
12792,157,1,45,0,157,1,red
12793,101,0,33,0,101,0,yellow
12794,155,2,86,0,155,1,red
12795,121,2,45,0,121,1,red
12796,172,1,83,1,172,1,red
12797,166,2,82,2,166,1,red
12798,55,1,49,0,55,0,yellow
12799,37,1,24,0,37,0,yellow
12800,94,3,2,7,94,0,yellow
12801,30,0,17,0,30,0,yellow
12802,65,2,0,5,65,0,yellow
12803,46,0,31,0,46,0,yellow
12804,155,1,40,0,155,1,red
12805,29,1,29,0,23,0,yellow
12806,69,0,39,0,69,0,yellow
12807,38,1,12,2,38,0,yellow
12808,82,2,9,30,82,0,yellow
12809,92,3,12,2,92,0,yellow
12810,161,2,109,1,161,1,red
12811,51,1,43,0,51,0,yellow
