,Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,clusters
14402,Canada,Barrie,38,Good,1,Good,25,Good,3,Good,38,Good,0
14403,Pakistan,Basirpur,168,Unhealthy,2,Good,125,Unhealthy for Sensitive Groups,0,Good,168,Unhealthy,2
14404,Canada,Whitchurch Stouffville,37,Good,1,Good,25,Good,2,Good,37,Good,0
14405,Canada,Winnipeg,54,Moderate,1,Good,23,Good,0,Good,54,Moderate,0
14406,Poland,Wloclawek,41,Good,1,Good,41,Good,0,Good,24,Good,0
14407,Switzerland,Worb,44,Good,1,Good,42,Good,0,Good,44,Good,0
14408,Germany,Augustdorf,37,Good,1,Good,34,Good,2,Good,37,Good,0
14409,Italy,Avellino,48,Good,1,Good,46,Good,2,Good,48,Good,0
14410,Sweden,Avesta,50,Good,1,Good,32,Good,1,Good,50,Good,0
14411,Mexico,Axochiapan,65,Moderate,2,Good,11,Good,6,Good,65,Moderate,0
14412,France,Bagneux,72,Moderate,2,Good,20,Good,6,Good,72,Moderate,0
14413,Italy,Brugherio,74,Moderate,2,Good,29,Good,8,Good,74,Moderate,0
14414,Nigeria,Bugama,167,Unhealthy,7,Good,36,Good,4,Good,167,Unhealthy,2
14415,Democratic Republic of the Congo,Bulungu,372,Hazardous,35,Good,37,Good,13,Good,372,Hazardous,1
14416,Ethiopia,Bure,78,Moderate,1,Good,26,Good,0,Good,78,Moderate,0
14417,Slovakia,Bytca,78,Moderate,1,Good,41,Good,1,Good,78,Moderate,0
14418,Brazil,Cachoeiras De Macacu,78,Moderate,2,Good,11,Good,6,Good,78,Moderate,0
14419,Spain,Calella,63,Moderate,1,Good,42,Good,3,Good,63,Moderate,0
14420,Mexico,Calvillo,61,Moderate,1,Good,25,Good,1,Good,61,Moderate,0
14421,Brazil,Campo Alegre,25,Good,0,Good,16,Good,1,Good,25,Good,0
14422,Italy,Campobello Di Licata,52,Moderate,1,Good,31,Good,4,Good,52,Moderate,0
14423,Romania,Cluj Napoca,60,Moderate,1,Good,40,Good,2,Good,60,Moderate,0
14424,Spain,Cocentaina,38,Good,1,Good,35,Good,2,Good,38,Good,0
14425,United States of America,Cocoa Beach,59,Moderate,1,Good,28,Good,6,Good,59,Moderate,0
14426,Australia,Coffs Harbour,27,Good,0,Good,27,Good,0,Good,17,Good,0
14427,Bolivia (Plurinational State of),Cotoca,16,Good,1,Good,9,Good,0,Good,16,Good,0
14428,Portugal,Covilha,17,Good,0,Good,17,Good,1,Good,14,Good,0
14429,France,Concarneau,51,Moderate,1,Good,43,Good,1,Good,51,Moderate,0
14430,United States of America,Crossville,65,Moderate,2,Good,18,Good,11,Good,65,Moderate,0
14431,El Salvador,Cuscatancingo,118,Unhealthy for Sensitive Groups,3,Good,7,Good,13,Good,118,Unhealthy for Sensitive Groups,2
14432,Portugal,Custoias,18,Good,1,Good,18,Good,1,Good,15,Good,0
14433,Senegal,Dahra,164,Unhealthy,1,Good,17,Good,2,Good,164,Unhealthy,2
14434,India,Dakor,151,Unhealthy,1,Good,43,Good,0,Good,151,Unhealthy,2
14435,United States of America,Prairie Village,49,Good,1,Good,33,Good,7,Good,49,Good,0
14436,Colombia,Puerto Rico,26,Good,1,Good,3,Good,1,Good,26,Good,0
14437,India,Puliyankudi,42,Good,1,Good,26,Good,0,Good,42,Good,0
14438,Russian Federation,Pyshma,32,Good,1,Good,32,Good,0,Good,26,Good,0
14439,Germany,Radolfzell,57,Moderate,1,Good,37,Good,2,Good,57,Moderate,0
14440,Indonesia,Rajapolah,58,Moderate,1,Good,35,Good,0,Good,58,Moderate,0
14441,India,Rajgurunagar,138,Unhealthy for Sensitive Groups,2,Good,33,Good,2,Good,138,Unhealthy for Sensitive Groups,2
14442,Germany,Poing,68,Moderate,1,Good,39,Good,3,Good,68,Moderate,0
