,Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,clusters
16760,Japan,Tsurugashima,63,Moderate,1,Good,50,Good,2,Good,63,Moderate,0
16761,Mexico,Tulancingo,166,Unhealthy,2,Good,10,Good,6,Good,166,Unhealthy,2
16762,Hungary,Turkeve,53,Moderate,1,Good,41,Good,1,Good,53,Moderate,0
16763,United Republic of Tanzania,Ulenje,26,Good,0,Good,20,Good,0,Good,26,Good,0
16764,Myanmar,Thongwa,38,Good,0,Good,25,Good,0,Good,38,Good,0
16765,India,Tilhar,156,Unhealthy,3,Good,112,Unhealthy for Sensitive Groups,1,Good,156,Unhealthy,2
16766,Mexico,Tlapa,64,Moderate,1,Good,15,Good,3,Good,64,Moderate,0
16767,India,Toda Bhim,193,Unhealthy,2,Good,95,Moderate,1,Good,193,Unhealthy,2
16768,United States of America,Glassboro,52,Moderate,2,Good,22,Good,13,Good,52,Moderate,0
16769,Germany,Goppingen,63,Moderate,1,Good,30,Good,2,Good,63,Moderate,0
16770,United States of America,Grand Island,52,Moderate,1,Good,31,Good,2,Good,52,Moderate,0
16771,Germany,Greven,37,Good,0,Good,33,Good,1,Good,37,Good,0
16772,Germany,Grevenbroich,43,Good,1,Good,26,Good,4,Good,43,Good,0
16773,Italy,Grezzana,127,Unhealthy for Sensitive Groups,2,Good,31,Good,6,Good,127,Unhealthy for Sensitive Groups,2
16774,Netherlands,Groesbeek,38,Good,0,Good,32,Good,2,Good,38,Good,0
16775,United States of America,West Carson,90,Moderate,2,Good,12,Good,29,Good,90,Moderate,0
16776,United States of America,West Lafayette,61,Moderate,2,Good,21,Good,12,Good,61,Moderate,0
16777,Germany,Wetter,62,Moderate,2,Good,26,Good,8,Good,62,Moderate,0
16778,United States of America,White Oak,71,Moderate,2,Good,26,Good,15,Good,71,Moderate,0
16779,United States of America,Whitefish Bay,50,Good,1,Good,22,Good,10,Good,50,Good,0
16780,Netherlands,Wijchen,38,Good,1,Good,21,Good,7,Good,38,Good,0
16781,United States of America,Wilmington Island,54,Moderate,1,Good,37,Good,5,Good,54,Moderate,0
16782,United States of America,Windsor Locks,58,Moderate,2,Good,21,Good,12,Good,58,Moderate,0
16783,China,Xinqing,48,Good,1,Good,32,Good,0,Good,48,Good,0
16784,China,Xuzhou,184,Unhealthy,4,Good,184,Unhealthy,6,Good,166,Unhealthy,2
16785,Netherlands,Zandvoort,55,Moderate,1,Good,37,Good,4,Good,55,Moderate,0
16786,Czechia,Zatec,75,Moderate,1,Good,38,Good,3,Good,75,Moderate,0
16787,China,Zhoucheng,86,Moderate,2,Good,52,Moderate,0,Good,86,Moderate,0
16788,Mexico,Teoloyucan,160,Unhealthy,4,Good,7,Good,15,Good,160,Unhealthy,2
16789,India,Thalassery,71,Moderate,1,Good,23,Good,0,Good,71,Moderate,0
16790,Germany,Zulpich,58,Moderate,1,Good,35,Good,3,Good,58,Moderate,0
16791,Thailand,Pran Buri,35,Good,0,Good,18,Good,0,Good,35,Good,0
16792,United States of America,Prescott Valley,37,Good,1,Good,13,Good,5,Good,37,Good,0
16793,Mexico,Puerto Escondido,50,Good,1,Good,20,Good,1,Good,50,Good,0
16794,Croatia,Pula,43,Good,1,Good,43,Good,0,Good,17,Good,0
16795,China,Puqi,151,Unhealthy,3,Good,151,Unhealthy,2,Good,83,Moderate,2
16796,Chile,Quilpue,122,Unhealthy for Sensitive Groups,4,Good,14,Good,11,Good,122,Unhealthy for Sensitive Groups,2
16797,Iran (Islamic Republic of),Rafsanjan,163,Unhealthy,1,Good,53,Moderate,0,Good,163,Unhealthy,2
16798,United States of America,Rancho San Diego,64,Moderate,2,Good,10,Good,22,Good,64,Moderate,0
16799,Denmark,Randers,33,Good,1,Good,33,Good,1,Good,25,Good,0
16800,India,Ranir Bazar,70,Moderate,3,Good,36,Good,3,Good,70,Moderate,0
16801,Spain,Redondela,27,Good,0,Good,27,Good,2,Good,18,Good,0
16802,Iran (Islamic Republic of),Rehnan,118,Unhealthy for Sensitive Groups,1,Good,71,Moderate,1,Good,118,Unhealthy for Sensitive Groups,2
16803,Brazil,Rio Do Sul,65,Moderate,2,Good,4,Good,4,Good,65,Moderate,0
16804,Pakistan,Risalpur,110,Unhealthy for Sensitive Groups,2,Good,107,Unhealthy for Sensitive Groups,3,Good,110,Unhealthy for Sensitive Groups,2
16805,Italy,Romano Di Lombardia,112,Unhealthy for Sensitive Groups,2,Good,29,Good,7,Good,112,Unhealthy for Sensitive Groups,2
16806,Germany,Ronnenberg,37,Good,0,Good,33,Good,1,Good,37,Good,0
16807,Mexico,Rosarito,53,Moderate,1,Good,27,Good,11,Good,53,Moderate,0
16808,Libya,Sabratah,94,Moderate,1,Good,35,Good,1,Good,94,Moderate,0
16809,France,Saint Etienne,28,Good,1,Good,21,Good,5,Good,28,Good,0
16810,France,Saint Saulve,51,Moderate,1,Good,23,Good,5,Good,51,Moderate,0
16811,United Republic of Tanzania,Same,28,Good,1,Good,15,Good,0,Good,28,Good,0
16812,United States of America,San Benito,124,Unhealthy for Sensitive Groups,2,Good,18,Good,5,Good,124,Unhealthy for Sensitive Groups,2
16813,Venezuela (Bolivarian Republic of),San Juan De Colon,55,Moderate,1,Good,6,Good,5,Good,55,Moderate,0
16814,Italy,San Martino Buon Albergo,125,Unhealthy for Sensitive Groups,2,Good,31,Good,6,Good,125,Unhealthy for Sensitive Groups,2
16815,Philippines,San Nicolas,62,Moderate,1,Good,23,Good,1,Good,62,Moderate,0
16816,India,Sandur,57,Moderate,0,Good,24,Good,0,Good,57,Moderate,0
16817,Spain,Sant Just Desvern,62,Moderate,1,Good,23,Good,9,Good,62,Moderate,0
16818,Italy,Santa Marinella,37,Good,1,Good,37,Good,2,Good,19,Good,0
16819,Brazil,Sao Paulo De Olivenca,19,Good,1,Good,3,Good,0,Good,19,Good,0
16820,United States of America,Sapulpa,71,Moderate,1,Good,31,Good,2,Good,71,Moderate,0
16821,Bangladesh,Satkhira,171,Unhealthy,6,Good,81,Moderate,6,Good,171,Unhealthy,2
16822,Brazil,Saubara,26,Good,0,Good,16,Good,2,Good,26,Good,0
16823,Thailand,Sawankhalok,73,Moderate,0,Good,23,Good,0,Good,73,Moderate,0
16824,Kazakhstan,Shakhtinsk,41,Good,1,Good,32,Good,0,Good,41,Good,0
16825,Russian Federation,Onokhoy,52,Moderate,1,Good,31,Good,0,Good,52,Moderate,0
16826,Germany,Ottweiler,52,Moderate,1,Good,30,Good,3,Good,52,Moderate,0
16827,Brazil,Palmeira,29,Good,0,Good,15,Good,0,Good,29,Good,0
16828,Romania,Pantelimon,50,Good,1,Good,37,Good,4,Good,50,Good,0
16829,United States of America,Park Forest,53,Moderate,2,Good,32,Good,9,Good,53,Moderate,0
16830,Brazil,Pato Branco,17,Good,1,Good,17,Good,0,Good,13,Good,0
16831,Indonesia,Payakumbuh,61,Moderate,1,Good,25,Good,0,Good,61,Moderate,0
16832,United States of America,Pflugerville,29,Good,1,Good,20,Good,2,Good,29,Good,0
16833,Brazil,Pilar Do Sul,68,Moderate,1,Good,9,Good,4,Good,68,Moderate,0
16834,India,Pilibanga,500,Hazardous,1,Good,43,Good,0,Good,470,Hazardous,1
16835,Italy,Polistena,59,Moderate,1,Good,43,Good,3,Good,59,Moderate,0
16836,India,Pollachi,61,Moderate,0,Good,21,Good,0,Good,61,Moderate,0
16837,Haiti,Port Au Prince,90,Moderate,2,Good,14,Good,7,Good,90,Moderate,0
16838,Japan,Shiojiri,42,Good,1,Good,42,Good,0,Good,10,Good,0
16839,India,Sikandarpur,186,Unhealthy,5,Good,182,Unhealthy,1,Good,186,Unhealthy,2
16840,Colombia,Sincelejo,62,Moderate,2,Good,1,Good,8,Good,62,Moderate,0
16841,India,Sirsi,54,Moderate,0,Good,24,Good,0,Good,54,Moderate,0
16842,United States of America,Smyrna,70,Moderate,1,Good,28,Good,5,Good,70,Moderate,0
16843,Madagascar,Soavinandriana,44,Good,1,Good,21,Good,0,Good,44,Good,0
16844,United States of America,Solana Beach,66,Moderate,2,Good,7,Good,24,Good,66,Moderate,0
16845,United States of America,Swansea,34,Good,1,Good,24,Good,8,Good,34,Good,0
16846,United Kingdom of Great Britain and Northern Ireland,Swindon,50,Good,1,Good,21,Good,6,Good,50,Good,0
16847,Canada,Sylvan Lake,39,Good,1,Good,39,Good,0,Good,10,Good,0
16848,United States of America,Syosset,69,Moderate,2,Good,13,Good,24,Good,69,Moderate,0
16849,Japan,Takarazuka,42,Good,1,Good,42,Good,2,Good,19,Good,0
16850,Japan,Takeo,49,Good,1,Good,49,Good,0,Good,36,Good,0
16851,Japan,Taketa,50,Good,1,Good,50,Good,0,Good,34,Good,0
16852,Côte d'Ivoire,Tanda,54,Moderate,1,Good,17,Good,0,Good,54,Moderate,0
16853,Indonesia,Tanggulangin,165,Unhealthy,3,Good,111,Unhealthy for Sensitive Groups,1,Good,165,Unhealthy,2
16854,Romania,Targu Neamt,69,Moderate,1,Good,39,Good,0,Good,69,Moderate,0
16855,Brazil,Nova Granada,37,Good,1,Good,9,Good,2,Good,37,Good,0
16856,Russian Federation,Novosineglazovskiy,40,Good,1,Good,36,Good,0,Good,40,Good,0
16857,Germany,Oberhausen,42,Good,1,Good,30,Good,2,Good,42,Good,0
16858,Venezuela (Bolivarian Republic of),Ocumare Del Tuy,116,Unhealthy for Sensitive Groups,2,Good,11,Good,10,Good,116,Unhealthy for Sensitive Groups,2
16859,Portugal,Olhao,39,Good,1,Good,39,Good,1,Good,24,Good,0
16860,United States of America,South Milwaukee,59,Moderate,2,Good,13,Good,25,Good,59,Moderate,0
16861,India,Srivilliputtur,50,Good,0,Good,24,Good,0,Good,50,Good,0
16862,Republic of North Macedonia,Stip,66,Moderate,1,Good,40,Good,0,Good,66,Moderate,0
16863,India,Kannod,150,Unhealthy,1,Good,42,Good,0,Good,150,Unhealthy,2
16864,Austria,Kapfenberg,61,Moderate,1,Good,36,Good,0,Good,61,Moderate,0
16865,Zambia,Kapiri Mposhi,33,Good,1,Good,17,Good,0,Good,33,Good,0
16866,Bulgaria,Karlovo,66,Moderate,1,Good,41,Good,0,Good,66,Moderate,0
16867,Burundi,Karuzi,45,Good,1,Good,20,Good,0,Good,45,Good,0
16868,Russian Federation,Katav Ivanovsk,34,Good,1,Good,34,Good,0,Good,25,Good,0
16869,Sweden,Katrineholm,31,Good,1,Good,31,Good,0,Good,11,Good,0
16870,Russian Federation,Kayerkan,33,Good,1,Good,29,Good,0,Good,33,Good,0
16871,Iran (Islamic Republic of),Kermanshah,62,Moderate,1,Good,62,Moderate,0,Good,41,Good,0
16872,India,Sardarshahr,447,Hazardous,1,Good,49,Good,0,Good,355,Hazardous,1
16873,Thailand,Selaphum,50,Good,1,Good,28,Good,0,Good,50,Good,0
16874,Malaysia,Semenyih,72,Moderate,2,Good,36,Good,1,Good,72,Moderate,0
16875,Kazakhstan,Semey,42,Good,1,Good,42,Good,0,Good,15,Good,0
16876,United States of America,Shakopee,55,Moderate,1,Good,33,Good,5,Good,55,Moderate,0
16877,Italy,San Giovanni In Persiceto,73,Moderate,1,Good,43,Good,2,Good,73,Moderate,0
16878,Italy,San Lazzaro Di Savena,63,Moderate,1,Good,43,Good,2,Good,63,Moderate,0
16879,Spain,Sant Cugat Del Valles,50,Good,1,Good,35,Good,5,Good,50,Good,0
16880,Portugal,Sao Pedro Da Cova,29,Good,1,Good,29,Good,3,Good,21,Good,0
16881,Brazil,Sao Sebastiao Do Paraiso,42,Good,1,Good,5,Good,2,Good,42,Good,0
16882,Brazil,Sarandi,45,Good,1,Good,5,Good,3,Good,45,Good,0
16883,Romania,Reghin,45,Good,1,Good,40,Good,0,Good,45,Good,0
16884,Republic of North Macedonia,Resen,80,Moderate,1,Good,45,Good,1,Good,80,Moderate,0
16885,Guatemala,Retalhuleu,100,Unhealthy for Sensitive Groups,3,Good,10,Good,10,Good,100,Unhealthy for Sensitive Groups,0
16886,Chile,Rio Bueno,40,Good,0,Good,27,Good,1,Good,40,Good,0
16887,South Africa,Robertson,160,Unhealthy,9,Good,5,Good,5,Good,160,Unhealthy,2
16888,Ukraine,Romny,59,Moderate,1,Good,32,Good,0,Good,59,Moderate,0
16889,France,Provins,56,Moderate,1,Good,30,Good,2,Good,56,Moderate,0
16890,Argentina,Punta Alta,20,Good,0,Good,20,Good,0,Good,5,Good,0
16891,China,Putai,193,Unhealthy,2,Good,193,Unhealthy,6,Good,128,Unhealthy for Sensitive Groups,2
16892,Pakistan,Loralai,122,Unhealthy for Sensitive Groups,1,Good,44,Good,0,Good,122,Unhealthy for Sensitive Groups,2
16893,Democratic Republic of the Congo,Lubumbashi,71,Moderate,1,Good,25,Good,1,Good,71,Moderate,0
16894,China,Mabai,70,Moderate,2,Good,70,Moderate,0,Good,60,Moderate,0
16895,United States of America,North Mankato,59,Moderate,1,Good,36,Good,3,Good,59,Moderate,0
16896,United Kingdom of Great Britain and Northern Ireland,North Shields,32,Good,0,Good,32,Good,1,Good,13,Good,0
16897,United States of America,Northport,63,Moderate,2,Good,19,Good,16,Good,63,Moderate,0
16898,Slovakia,Nove Zamky,81,Moderate,1,Good,42,Good,1,Good,81,Moderate,0
16899,United States of America,Nutley,72,Moderate,2,Good,20,Good,18,Good,72,Moderate,0
16900,Mexico,Navolato,68,Moderate,1,Good,24,Good,3,Good,68,Moderate,0
16901,Zambia,Nchelenge,59,Moderate,1,Good,24,Good,0,Good,59,Moderate,0
16902,Central African Republic,Ndele,69,Moderate,2,Good,8,Good,0,Good,69,Moderate,0
16903,Greece,Nea Alikarnassos,78,Moderate,1,Good,41,Good,1,Good,78,Moderate,0
16904,Russian Federation,Nikolsk,57,Moderate,1,Good,36,Good,0,Good,57,Moderate,0
16905,United States of America,Morton Grove,63,Moderate,2,Good,10,Good,22,Good,63,Moderate,0
16906,Germany,Muhlhausen,57,Moderate,2,Good,31,Good,6,Good,57,Moderate,0
16907,India,Nagapattinam,64,Moderate,1,Good,37,Good,0,Good,64,Moderate,0
16908,China,Nanma,115,Unhealthy for Sensitive Groups,2,Good,110,Unhealthy for Sensitive Groups,2,Good,115,Unhealthy for Sensitive Groups,2
16909,China,Mianyang,71,Moderate,2,Good,71,Moderate,2,Good,62,Moderate,0
16910,South Africa,Midrand,211,Very Unhealthy,15,Good,12,Good,19,Good,211,Very Unhealthy,2
16911,United States of America,Mishawaka,68,Moderate,2,Good,29,Good,8,Good,68,Moderate,0
16912,Poland,Mogilno,44,Good,1,Good,34,Good,1,Good,44,Good,0
16913,Japan,Moka,59,Moderate,1,Good,59,Moderate,1,Good,54,Moderate,0
16914,France,Montesson,70,Moderate,2,Good,28,Good,5,Good,70,Moderate,0
16915,United States of America,Indiana,85,Moderate,2,Good,9,Good,33,Good,85,Moderate,0
16916,Japan,Ino,34,Good,0,Good,34,Good,0,Good,13,Good,0
16917,Brazil,Itabuna,50,Good,1,Good,9,Good,3,Good,50,Good,0
16918,Brazil,Jaguaruana,25,Good,0,Good,14,Good,0,Good,25,Good,0
16919,India,Jaleswar,80,Moderate,2,Good,40,Good,0,Good,80,Moderate,0
16920,Syrian Arab Republic,Jaramana,167,Unhealthy,1,Good,50,Good,0,Good,167,Unhealthy,2
16921,Brazil,Joanopolis,40,Good,1,Good,8,Good,3,Good,40,Good,0
16922,Brazil,Joao Neiva,45,Good,1,Good,11,Good,2,Good,45,Good,0
16923,India,Kakching,36,Good,1,Good,17,Good,0,Good,36,Good,0
16924,Democratic Republic of the Congo,Kindu,160,Unhealthy,6,Good,43,Good,1,Good,160,Unhealthy,2
16925,United States of America,King Of Prussia,54,Moderate,2,Good,27,Good,11,Good,54,Moderate,0
16926,Japan,Kitakami,47,Good,1,Good,44,Good,2,Good,47,Good,0
16927,Kenya,Kitui,45,Good,1,Good,20,Good,0,Good,45,Good,0
16928,South Africa,Knysna,45,Good,1,Good,15,Good,1,Good,45,Good,0
16929,Russian Federation,Korsakov,27,Good,1,Good,27,Good,0,Good,20,Good,0
16930,India,Paradwip,132,Unhealthy for Sensitive Groups,3,Good,74,Moderate,1,Good,132,Unhealthy for Sensitive Groups,2
16931,Brazil,Parnaiba,21,Good,0,Good,14,Good,0,Good,21,Good,0
16932,Colombia,Pasto,19,Good,0,Good,8,Good,1,Good,19,Good,0
16933,Brazil,Pedra,25,Good,0,Good,11,Good,1,Good,25,Good,0
16934,Thailand,Phak Hai,54,Moderate,1,Good,25,Good,1,Good,54,Moderate,0
16935,Thailand,Phanat Nikhom,53,Moderate,1,Good,18,Good,1,Good,53,Moderate,0
16936,United States of America,Omaha,43,Good,1,Good,40,Good,4,Good,43,Good,0
16937,Italy,Orbetello,63,Moderate,1,Good,47,Good,0,Good,63,Moderate,0
16938,Russian Federation,Ostrov,34,Good,1,Good,34,Good,0,Good,34,Good,0
16939,United States of America,Owatonna,58,Moderate,1,Good,35,Good,3,Good,58,Moderate,0
16940,Pakistan,Paharpur,174,Unhealthy,3,Good,149,Unhealthy for Sensitive Groups,0,Good,174,Unhealthy,2
16941,Netherlands,Drimmelen,40,Good,1,Good,31,Good,5,Good,40,Good,0
16942,Germany,Dusseldorf,53,Moderate,1,Good,28,Good,6,Good,53,Moderate,0
16943,United States of America,Dyer,65,Moderate,2,Good,23,Good,13,Good,65,Moderate,0
16944,United States of America,East Orange,68,Moderate,2,Good,21,Good,16,Good,68,Moderate,0
16945,United Kingdom of Great Britain and Northern Ireland,East Retford,35,Good,1,Good,35,Good,3,Good,15,Good,0
16946,United States of America,El Mirage,66,Moderate,1,Good,8,Good,18,Good,66,Moderate,0
16947,Turkey,Emirdag,75,Moderate,1,Good,36,Good,0,Good,75,Moderate,0
16948,Italy,Francavilla Al Mare,51,Moderate,1,Good,46,Good,1,Good,51,Moderate,0
16949,Germany,Frankenthal,71,Moderate,2,Good,25,Good,6,Good,71,Moderate,0
16950,Italy,Fucecchio,63,Moderate,1,Good,41,Good,3,Good,63,Moderate,0
16951,Italy,Gallarate,68,Moderate,1,Good,36,Good,2,Good,68,Moderate,0
16952,Italy,Gardone Val Trompia,74,Moderate,1,Good,30,Good,3,Good,74,Moderate,0
16953,United States of America,Garfield,72,Moderate,2,Good,19,Good,18,Good,72,Moderate,0
16954,France,Garges Les Gonesse,71,Moderate,2,Good,28,Good,5,Good,71,Moderate,0
16955,France,Gien,39,Good,1,Good,31,Good,2,Good,39,Good,0
16956,Spain,Erandio,55,Moderate,1,Good,16,Good,4,Good,55,Moderate,0
16957,Pakistan,Faqirwali,170,Unhealthy,3,Good,150,Unhealthy,0,Good,170,Unhealthy,2
16958,Mexico,Felipe Carrillo Puerto,86,Moderate,1,Good,25,Good,0,Good,86,Moderate,0
16959,United States of America,Fort Lauderdale,61,Moderate,1,Good,19,Good,11,Good,61,Moderate,0
16960,Haiti,Gonaives,96,Moderate,2,Good,25,Good,3,Good,96,Moderate,0
16961,Poland,Gubin,67,Moderate,1,Good,38,Good,2,Good,67,Moderate,0
16962,Philippines,Guiljungan,50,Good,1,Good,16,Good,0,Good,50,Good,0
16963,Netherlands,Haarlemmermeer,46,Good,1,Good,34,Good,4,Good,46,Good,0
16964,Germany,Hammelburg,62,Moderate,1,Good,36,Good,3,Good,62,Moderate,0
16965,Romania,Harsova,41,Good,1,Good,41,Good,0,Good,32,Good,0
16966,United States of America,Harwich,37,Good,1,Good,37,Good,3,Good,15,Good,0
16967,Belgium,Herentals,62,Moderate,1,Good,23,Good,8,Good,62,Moderate,0
16968,China,Hohhot,64,Moderate,1,Good,44,Good,2,Good,64,Moderate,0
16969,Germany,Holzgerlingen,61,Moderate,1,Good,37,Good,2,Good,61,Moderate,0
16970,Angola,Huambo,28,Good,1,Good,21,Good,0,Good,28,Good,0
16971,China,Hulan,65,Moderate,2,Good,47,Good,2,Good,65,Moderate,0
16972,India,Idar,159,Unhealthy,1,Good,35,Good,0,Good,159,Unhealthy,2
16973,United Republic of Tanzania,Igurusi,28,Good,1,Good,18,Good,0,Good,28,Good,0
16974,Canada,Dawson Creek,62,Moderate,2,Good,32,Good,0,Good,62,Moderate,0
16975,China,Daye,76,Moderate,3,Good,52,Moderate,4,Good,76,Moderate,0
16976,Pakistan,Diplo,167,Unhealthy,1,Good,35,Good,0,Good,167,Unhealthy,2
16977,India,Dirba,178,Unhealthy,4,Good,178,Unhealthy,1,Good,168,Unhealthy,2
16978,Iran (Islamic Republic of),Do Gonbadan,80,Moderate,1,Good,48,Good,0,Good,80,Moderate,0
16979,Brazil,Dois Vizinhos,45,Good,1,Good,4,Good,3,Good,45,Good,0
16980,Hungary,Pilisvorosvar,74,Moderate,1,Good,42,Good,2,Good,74,Moderate,0
16981,Brazil,Pirapora,46,Good,1,Good,2,Good,3,Good,46,Good,0
16982,Sri Lanka,Point Pedro,56,Moderate,0,Good,30,Good,0,Good,56,Moderate,0
16983,Brazil,Porto Uniao,26,Good,0,Good,11,Good,1,Good,26,Good,0
16984,Slovakia,Povazska Bystrica,66,Moderate,1,Good,40,Good,1,Good,66,Moderate,0
16985,China,Dangtu,181,Unhealthy,9,Good,2,Good,39,Good,181,Unhealthy,2
16986,Costa Rica,Daniel Flores,50,Good,1,Good,23,Good,1,Good,50,Good,0
16987,India,Daosa,172,Unhealthy,3,Good,98,Moderate,3,Good,172,Unhealthy,2
16988,Pakistan,Daud Khel,180,Unhealthy,3,Good,113,Unhealthy for Sensitive Groups,2,Good,180,Unhealthy,2
16989,United Kingdom of Great Britain and Northern Ireland,Dawlish,37,Good,1,Good,31,Good,1,Good,37,Good,0
16990,Iran (Islamic Republic of),Dehloran,125,Unhealthy for Sensitive Groups,1,Good,43,Good,0,Good,125,Unhealthy for Sensitive Groups,2
16991,United States of America,Delano,46,Good,1,Good,24,Good,3,Good,46,Good,0
16992,Russian Federation,Derbent,44,Good,1,Good,35,Good,0,Good,44,Good,0
16993,India,Dergaon,97,Moderate,4,Good,13,Good,7,Good,97,Moderate,0
16994,India,Dhamtari,154,Unhealthy,2,Good,49,Good,1,Good,154,Unhealthy,2
16995,United States of America,Dumont,53,Moderate,1,Good,46,Good,3,Good,53,Moderate,0
16996,United States of America,East Providence,51,Moderate,1,Good,44,Good,2,Good,51,Moderate,0
16997,Venezuela (Bolivarian Republic of),El Cafetal,64,Moderate,1,Good,36,Good,1,Good,64,Moderate,0
16998,South Africa,Empangeni,53,Moderate,1,Good,28,Good,0,Good,53,Moderate,0
16999,Brazil,Nao Me Toque,21,Good,0,Good,21,Good,0,Good,17,Good,0
17000,United States of America,Naples,31,Good,0,Good,31,Good,0,Good,24,Good,0
17001,Mexico,Naucalpan,194,Unhealthy,2,Good,40,Good,5,Good,194,Unhealthy,2
17002,Russian Federation,Neftegorsk,45,Good,1,Good,45,Good,0,Good,10,Good,0
17003,Romania,Negresti,52,Moderate,1,Good,51,Moderate,0,Good,52,Moderate,0
17004,United Republic of Tanzania,Newala,22,Good,0,Good,22,Good,0,Good,17,Good,0
17005,China,Nianzishan,79,Moderate,4,Good,41,Good,1,Good,79,Moderate,0
17006,Japan,Nichinan,41,Good,1,Good,41,Good,2,Good,35,Good,0
17007,Brazil,Niquelandia,19,Good,0,Good,19,Good,0,Good,5,Good,0
17008,Finland,Nivala,33,Good,1,Good,33,Good,0,Good,2,Good,0
17009,United States of America,Norton Shores,50,Good,1,Good,28,Good,1,Good,50,Good,0
17010,Slovenia,Novo Mesto,75,Moderate,1,Good,48,Good,0,Good,75,Moderate,0
17011,United States of America,Oak Forest,56,Moderate,1,Good,34,Good,4,Good,56,Moderate,0
17012,Japan,Ogawa,82,Moderate,2,Good,11,Good,18,Good,82,Moderate,0
17013,Japan,Okegawa,89,Moderate,2,Good,19,Good,23,Good,89,Moderate,0
17014,Slovakia,Roznava,64,Moderate,1,Good,45,Good,0,Good,64,Moderate,0
17015,Poland,Rumia,35,Good,1,Good,35,Good,0,Good,24,Good,0
17016,United States of America,Sachse,71,Moderate,2,Good,27,Good,6,Good,71,Moderate,0
17017,Afghanistan,Sahrak,68,Moderate,0,Good,32,Good,0,Good,68,Moderate,0
17018,United States of America,Saint Michael,51,Moderate,1,Good,33,Good,2,Good,51,Moderate,0
17019,Israel,Sakhnin,44,Good,1,Good,44,Good,3,Good,44,Good,0
17020,Oman,Salalah,87,Moderate,0,Good,23,Good,0,Good,87,Moderate,0
17021,Mexico,Salvatierra,57,Moderate,1,Good,31,Good,1,Good,57,Moderate,0
17022,Malta,San Gwann,70,Moderate,1,Good,70,Moderate,0,Good,42,Good,0
17023,Guatemala,Santa Maria De Jesus,67,Moderate,1,Good,27,Good,1,Good,67,Moderate,0
17024,Peru,Santa,41,Good,0,Good,19,Good,0,Good,41,Good,0
17025,Brazil,Sao Mateus Do Sul,22,Good,1,Good,13,Good,0,Good,22,Good,0
17026,Indonesia,Randudongkal,188,Unhealthy,11,Good,8,Good,26,Good,188,Unhealthy,2
17027,United States of America,Reidsville,47,Good,1,Good,47,Good,0,Good,20,Good,0
17028,France,Romilly Sur Seine,76,Moderate,1,Good,47,Good,0,Good,76,Moderate,0
17029,Mexico,Acala,112,Unhealthy for Sensitive Groups,3,Good,4,Good,7,Good,112,Unhealthy for Sensitive Groups,2
17030,Côte d'Ivoire,Agnibilekrou,52,Moderate,1,Good,17,Good,0,Good,52,Moderate,0
17031,Sweden,Akersberga,29,Good,1,Good,29,Good,0,Good,9,Good,0
17032,Japan,Akishima,62,Moderate,1,Good,48,Good,1,Good,62,Moderate,0
17033,Turkey,Aksehir,75,Moderate,1,Good,33,Good,0,Good,75,Moderate,0
17034,Malaysia,Alor Setar,55,Moderate,1,Good,35,Good,0,Good,55,Moderate,0
17035,India,Ambahta,158,Unhealthy,3,Good,134,Unhealthy for Sensitive Groups,1,Good,158,Unhealthy,2
17036,Mexico,Ameca,50,Good,1,Good,14,Good,2,Good,50,Good,0
17037,Japan,Arai,65,Moderate,2,Good,52,Moderate,2,Good,65,Moderate,0
17038,Italy,Arcola,50,Good,1,Good,37,Good,3,Good,50,Good,0
17039,Italy,Argenta,64,Moderate,1,Good,47,Good,1,Good,64,Moderate,0
17040,India,Alwaye,83,Moderate,1,Good,25,Good,1,Good,83,Moderate,0
17041,Brazil,Anastacio,13,Good,0,Good,9,Good,0,Good,13,Good,0
17042,Brazil,Arcos,40,Good,1,Good,9,Good,1,Good,40,Good,0
17043,United States of America,Arecibo,74,Moderate,0,Good,23,Good,0,Good,74,Moderate,0
17044,Brazil,Altinho,18,Good,0,Good,17,Good,1,Good,18,Good,0
17045,Madagascar,Ambatofinandrahana,60,Moderate,1,Good,20,Good,0,Good,60,Moderate,0
17046,Italy,Angri,56,Moderate,1,Good,47,Good,3,Good,56,Moderate,0
17047,Equatorial Guinea,Anisoc,53,Moderate,2,Good,31,Good,0,Good,53,Moderate,0
17048,United Kingdom of Great Britain and Northern Ireland,Arbroath,27,Good,0,Good,27,Good,1,Good,11,Good,0
17049,Russian Federation,Arzgir,34,Good,1,Good,34,Good,0,Good,32,Good,0
17050,Brazil,Atalaia,27,Good,0,Good,17,Good,1,Good,27,Good,0
17051,Nigeria,Awka,154,Unhealthy,8,Good,30,Good,5,Good,154,Unhealthy,2
17052,Brazil,Bacabal,53,Moderate,1,Good,1,Good,2,Good,53,Moderate,0
17053,Germany,Bad Driburg,40,Good,1,Good,36,Good,1,Good,40,Good,0
17054,Pakistan,Lalian,173,Unhealthy,2,Good,128,Unhealthy for Sensitive Groups,1,Good,173,Unhealthy,2
17055,Cyprus,Larnaca,50,Good,1,Good,50,Good,0,Good,37,Good,0
17056,Cuba,Las Tunas,53,Moderate,1,Good,20,Good,2,Good,53,Moderate,0
17057,Indonesia,Lasem,93,Moderate,2,Good,52,Moderate,1,Good,93,Moderate,0
